English,Thai,Classifier,Type,,,,,
egg beater (ordinary),ที่ตีไข่,อัน,N,,,,,
"workplace, office",ที่ทำงาน,"แห่ง, ที่",N,,,,,
"tourist attraction, place to tour, go",ที่เที่ยว,"แห่ง, ที่",N,,,,,
mattress,ที่นอน,ผืน,N,,,,,
"seat, place to sit",ที่นั่ง,ที่,N,,,,,
"there, that place",ที่นั่น,,N,,,,,
"here, this place",ที่นี่,,N,,,,,
way over there,ที่โน่น,,N,,,,,
over there (further),ที่โน้น,,N,,,,,
"lodging, resting place, a place to stay",ที่พัก,,N,,,,,
"team, group (loanword)",ทีม,,N,,,,,
"first time, at first",ทีแรก,,Adv,,,,,
one by one (people),ทีละคน,,N,,,,,
"last, previous",ที่แล้ว,,Adv,,,,,
unoccupied space/place,ที่ว่าง,,N,,,,,
"TV, television (loanword)",ทีวี,เครื่อง,N,,,,,
second,ที่สอง,,Adj,,,,,
"the most, extremely",ที่สุด,,Adj,,,,,
first,ที่หนึ่ง,,Adv,,,,,
"afterwards, later",ทีหลัง,,"Adv, Conj",,,,,
the rest,ที่เหลือ,,N,,,,,
"where, anywhere (in negative statement)",ทีไหน,ที่,N,,,,,
somewhere,ที่ไหน (ใด),ที่,N,,,,,
anywhere,ที่ไหนก็ได้,ที่,N,,,,,
"address, place to live",ที่อยู่,"แห่ง, ที่",N,,,,,
"every, each",ทุก,,Prefix,,,,,
"everybody, everyone",ทุกคน,,N,,,,,
every time,ทุกครั้ง,,N,,,,,
every night,ทุกคืน,,N,,,,,
every morning,ทุกเช้า,,N,,,,,
every month,ทุกเดือน,,N,,,,,
every time,ทุกที,,Adv,,,,,
"anywhere, everywhere",ทุกที่,,Adv,,,,,
every year,ทุกปี,,Adv,,,,,
every evening,ทุกเย็น,,Adv,,,,,
"daily, every day",ทุกวัน,,Adv,,,,,
nowadays,ทุกวันนี้,,Adv,,,,,
everything,ทุกสิ่ง,ชิ้น,N,,,,,
"everything (spoken), every kind",ทุกอย่าง,,N,,,,,
every week,ทุกอาทิตย์,,Adv,,,,,
"capital, asset, fund",ทุน,,N,,,,,
o'clock (7 pm - 11 pm),ทุ่ม,,N,,,,,
durian ,ทุเรียน,ลูก,N,,,,,
"ambassador, diplomat, envoy, representative ",ทูต,คน,N,,,,,
"to pour, pour out",เท,,V,,,,,
technology,เทคโนโลยี,,N,,,,,
tennis,เทนนิส,,N,,,,,
tape (loanword),เทป,ม้วน,N,,,,,
"feet, foot",เท้า,เท้า,N,,,,,
"the same, equal (quantity and size)",เท่ากัน,,Adj,,,,,
"as much as, to the extent that",เท่าที่,,"Adj, Adv",,,,,
only [written],เท่านั้น,,Adv,,,,,
"how many, how much (question word)",เท่าไร,,Adj,,,,,
how much,เท่าไหร่,,Adj,,,,,
"midday, noon",เที่ยง (วัน),,N,,,,,
midnight,เที่ยงคืน,,N,,,,,
candle,เทียน,เล่ม,N,,,,,
"to compare with, bear comparison with",เทียบ,,V,,,,,
"to go out, travel, tour, for pleasure",เที่ยว,,V,,,,,
one-way,เที่ยวเดียว,,N,,,,,
"true, real, genuine",แท้,,Adj,,,,,
taxi (loanword),แท็กซี่,คัน,N,,,,,
to stab,แทง,,V,,,,,
instead,แทน,,V ,,,,,
nearly,แทบ,,Adv,,,,,
second,โท,,N,,,,,
"to telephone, to call",โทร ,,V,,,,,
T.V.,โทรทัศน์,เครื่อง,N,,,,,
long distance,โทรทางไกล,,V,,,,,
calling out,โทรไป,,V,,,,,
"phone, telephone, to call",โทรศัพท์,เครื่อง,N,,,,,
"to blame, punishment",โทษ,,V,,,,,
typhoid,ไทฟอยด์,,N,,,,,
Thai,ไทย,,N,,,,,
flag,ธง,ผืน,N,,,,,
bank,ธนาคาร,แห่ง,N,,,,,
"nature, natural, creation",ธรรมชาติ,,N,,,,,
"usually, normally, regular, normal",ธรรมดา,,Adv,,,,,
"custom, tradition, manner",ธรรมเนียม,,N,,,,,
December,ธันวาคม,,N,,,,,
business,ธุรกิจ,อย่าง,N,,,,,
"business, affairs, errands",ธุระ,อย่าง,N,,,,,
"you (to intimates or inferiors), her",เธอ,ตัว,Pronoun,,,,,
bird,นก,ตัว,N,,,,,
parrot,นกแก้ว,ตัว,N,,,,,
peacock,นกยูง,ตัว,N,,,,,
owl,นกฮูก,ตัว,N,,,,,
"milk, cream, breasts",นม,"ถ้วย, แก้ว",N,,,,,
condensed milk,นมข้น,"กล่อง, กระป๋อง",N,,,,,
sweetened condensed milk,นมข้นหวาน,"กล่อง, กระป๋อง",N,,,,,
low-fat milk,นมพร่องมันเนย,"กล่อง, กระป๋อง",N,,,,,
"policy, principle, plan",นโยบาย,นโยบาย,N,,,,,
massage,นวด,,V,,,,,
outside,นอก,,"Adj, Adv",,,,,
except,นอกจาก,,Prep,,,,,
"younger (he, she, you), younger brother or sister",น้อง,คน,N,,,,,
brother-in-law,น้องเขย,คน,N,,,,,
younger brother,น้องชาย,คน,N,,,,,
sister-in-law,น้องสะใภ้,คน,N,,,,,
younger sister,น้องสาว,คน,N,,,,,
to sleep,นอน,,V,,,,,
to be rested (from sleep),นอนเต็มอิ่ม,,V,,,,,
to lie down and relax,นอนเล่น,,V,,,,,
to sleep,นอนหลับ,,V,,,,,
"little, small, less, slight (in quantity) ",น้อย,,Adj,,,,,
"little, few (adj)",น้อยกว่า,,Adj,,,,,
less (than before),น้อยลง,,Adj,,,,,
custard apple,น้อยหน่า,"ลูก, ใบ",N,,,,,
Norway,นอร์เวย์,,N,,,,,
"polite particle, softener: used to make the question sound less abrupt",นะ,,Particle,,,,,
"so, so much, a person who…",นัก,,"Adv, prefix",,,,,
politician,นักการเมือง,คน,N,,,,,
athlete,นักกีฬา,คน,N,,,,,
writer,นักเขียน,คน,N,,,,,
musician,นักดนตรี,คน,N,,,,,
tourist,นักท่องเที่ยว,คน,N,,,,,
"businessman, businessperson",นักธุรกิจ,คน,N,,,,,
writer (formal),นักประพันธ์,คน,N,,,,,
translator,นักแปล,คน,N,,,,,
singer,นักร้อง,คน,N,,,,,
"student, learner (junior or high school)",นักเรียน,คน,N,,,,,
student (above high school),นักศึกษา,คน,N,,,,,
to sit,นั่ง,,V,,,,,
to sit down and relax,นั่งเล่น,,V,,,,,
to make an appointment,นัด,,V,,,,,
that,นั่น,,N,,,,,
that (determiner),นั้น,,Adj,,,,,
such,นั้นๆ,,Adv,,,,,
to count,นับ,,V,,,,,
to believe in (a religion),นับถือ,,V,,,,,
rice field,นา,"ผืน, แห่ง",N,,,,,
"worthy of, leading to, or –able (forms verb compounds)",น่า,,Prefix,,,,,
"aunt, uncle (younger brother/sister)",น้า,คน,N,,,,,
frightening,น่ากลัว,,Adj,,,,,
good to eat,น่ากิน,,Adj,,,,,
"to be ugly, disgusting, repulsive, detestable",น่าเกลียด,,Adj,,,,,
mrs,นาง,,N,,,,,
nurse (n),นางพยาบาล,คน,N,,,,,
miss + name,นางสาว,คน,N,,,,,
nice to buy,น่าซื้อ,,"Adj, Adv",,,,,
"interesting to look at, should be seen",น่าดู,,"Adj, Adv",,,,,
looks delicious,น่าทาน,,"Adj, Adv",,,,,
minutes,นาที,,N,,,,,
long (in time),นาน,,Adv,,,,,
international,นานาชาติ,,N,,,,,
"to be boring, dull, be tedious, be tiresome",น่าเบื่อ,,"Adj, Adv",,,,,
interesting to listen to,น่าฟัง,,Adv,,,,,
"name, designation, appellation (loanword)",นาม,นาม,N,,,,,
business card,นามบัตร,ใบ,N,,,,,
family name,นามสกุล,นามสกุล,N,,,,,
"mr, master, boss",นาย,,N,,,,,
prime minister,นายกรัฐมนตรี,คน,N,,,,,
employer,นายจ้าง,คน,N,,,,,
"lovable, cute",น่ารัก,,Adj,,,,,
annoying,น่ารำคาญ,,"Adj, Adv",,,,,
worth learning,น่ารู้,,"Adj, Adv",,,,,
worth trying,น่าลอง,,"Adj, Adv",,,,,
trustworthy,น่าไว้ใจ,,"Adj, Adv",,,,,
interesting,น่าสนใจ,,"Adj, Adv",,,,,
"regrettable, worthy of sorry ",น่าเสียใจ,,Adj,,,,,
"to be unfortunate, unlucky, unfavorable",น่าเสียดาย,,Adj,,,,,
"watch, clock, hour (time)",นาฬิกา,"เรือน, นาฬิกา",Adj,,,,,
alarm clock,นาฬิกาปลุก,เรือน,N,,,,,
"to be cozy, livable, a good place to live, a good place to be at",น่าอยู่,,"Adj, Adv",,,,,
interesting to read,น่าอ่าน,,"Adj, Adv",,,,,
to be ashamed,น่าอาย,,"Adj, Adv",,,,,
"bring, take, fetch, come with; lead, guide, conduct",นำ,,V,,,,,
"water, liquid, juice, fluid",น้ำ,"แก้ว, ขวด",N,,,,,
"to import, introduce, bring in",นำเข้า,,V,,,,,
ice,น้ำแข็ง,ก้อน,N,,,,,
"kindness, spirit, heart",น้ำใจ,,N,,,,,
tea,น้ำชา,"ถ้วย, ที่",N,,,,,
syrup,น้ำเชื่อม,ช้อน,N,,,,,
soda water,น้ำโซดา,ขวด,N,,,,,
drinking water,น้ำดื่ม,ขวด,N,,,,,
tears,น้ำตา,หยด,N,,,,,
sugar,น้ำตาล,เม็ด,N,,,,,
milk,น้ำนม,แก้ว,N,,,,,
fish sauce,น้ำปลา,"ช้อน, ขวด",N,,,,,
plain water (bottled water),น้ำเปล่า,"แก้ว, ขวด",N,,,,,
fruit juice,น้ำผลไม้,แก้ว,N,,,,,
lemonade,น้ำมะนาว,แก้ว,N,,,,,
"oil, gasoline",น้ำมัน,ลิตร,N,,,,,
vegetable oil,น้ำมันพืช,"ช้อน, ขวด",N,,,,,
olive oil,น้ำมันมะกอก,"ช้อน, ขวด",N,,,,,
cold water,น้ำเย็น,"แก้ว, ขวด",N,,,,,
"orange juice, orange soda",น้ำส้ม,แก้ว,N,,,,,
orange juice,น้ำส้ม,"ขวด, แก้ว, ถุง",N,,,,,
vinegar,น้ำส้มสายชู,"ช้อน, ขวด",N,,,,,
weight,น้ำหนัก,กิโลกรัม,N,,,,,
perfume,น้ำหอม,"หยด, ขวด",N,,,,,
carbonated drinks,น้ำอัดลม,ขวด,N,,,,,
"set, denomination",นิกาย,นิกาย,N,,,,,
little (only a),นิดเดียว,,Adv,,,,,
"a little bit, just a little",นิดนึง,,Adv,,,,,
a little bit  (for actions),นิดหน่อย,,Adv,,,,,
magazine,นิตยสาร,ฉมัม,N,,,,,
to invite (only for monk) ,นิมนต์,,V,,,,,
"admire, appreciate",นิยม,,Adj,,,,,
"finger, inch (English system)",นิ้ว,นิ้ว,N,,,,,
New Zealand,นิวซีแลนด์,,N,,,,,
toe,นิ้วเท้า,นิ้ว,N,,,,,
finger,นิ้วมือ,นิ้ว,N,,,,,
habit,นิสัย,,N,,,,,
well-behaved,นิสัยดี,,Adj,,,,,
"this, these (determiner)",นี่,,N,,,,,
this (determiner),นี้,,Adj,,,,,
to think,นึก,,V,,,,,
to consider,นึกถึง - ดำริ,,V,,,,,
used at end of sentence (spoken),นึง,,Particle,,,,,
to steam,นึ่ง,,V,,,,,
soft,นุ่ม,,Adj,,,,,
Netherlands,เนเธอร์แลนด์,,N,,,,,
"to emphasize, to stress, to underscore, to focus on",เน้น,,V,,,,,
butter,เนย,ช้อน,N,,,,,
cheese,เนยแข็ง,ก้อน,N,,,,,
rotten,เน่า,,Adj,,,,,
"meat, beef",เนื้อ,ชิ้น,N,,,,,
"because, as, since, due to the fact that ",เนื่องจาก,,Conj,,,,,
area,เนื้อที่,,N,,,,,
texture of cloth,เนื้อผ้า,,N,,,,,
beef,เนื้อวัว,ชิ้น,N,,,,,
pork,เนื้อหมู,ชิ้น,N,,,,,
"to be certain, sure ",แน่ (ใจ),,Adj,,,,,
"certain, sure (adj)",แน่ (นอน),,Adj,,,,,
"to be sure, certain ",แน่ใจ,,Adj,,,,,
"securely, tightly, solidly",แน่น,,Adv,,,,,
"certainly, surely, definitely",แน่นอน,,Adv,,,,,
"way, path, course",แนวทาง,,N,,,,,
tendency,แนวโน้ม,,N,,,,,
"introduce, advise, suggest",แนะนำ,,V,,,,,
notebook,โน้ตบุ๊ก,เครื่อง,N,,,,,
"that (one) over there, over there",โน่น,,N,,,,,
that (farther away than นั้น),โน้น,,Adj,,,,,
"in, of, within (casual)",ใน,,Prep,,,,,
"while, when, as",ในขณะที่,,Conj,,,,,
finally,ในที่สุด,,Adv,,,,,
"soon, shortly",ในไม่ช้า,,Adv,,,,,
"between, during, amongst",ในระหว่าง,,"Conj, Prep",,,,,
soon,ในเร็วๆนี้,,Adv,,,,,
in the future,ในอนาคต,,Adv,,,,,
bus station,บ.ข.ส. บริษัทขนส่ง,แห่ง,N,,,,,
land (as opposed to sea),บก,,N,,,,,
"lesson in a textbook, text or lines of a play",บท,,N,,,,,
lesson,บทเรียน,,N,,,,,
"above, on top of",บน,,Prep,,,,,
"to load, fill, pack",บรรจุ,,V,,,,,
"all, whole, totality",บรรดา,,N,,,,,
ancestor,บรรพบุรุษ,คน,N,,,,,
brandy (loanword),บรั่นดี,"แก้ว, ขวด",N,,,,,
Brazil,บราซิล,,N,,,,,
service,บริการ,,V,,,,,
to consume (edible things),บริโภค,,V,,,,,
"area, vicinity, zone, precinct, surroundings",บริเวณ,,N,,,,,
"company, business",บริษัท,แห่ง,N,,,,,
"swollen, inflamed",บวม,,V,,,,,
to tell,บอก,,Adj,,,,,
to say that,บอกว่า,,V,,,,,
often,บ่อย,,V,,,,,
frequent,บ่อยๆ,,Adv,,,,,
noodles,บะหมี่,เส้น,Adv,,,,,
to force,บังคับ,,N,,,,,
"by chance, accidentally",บังเอิญ,,V,,,,,
account,บัญชี,บัญชี,Adv,,,,,
"ticket, card",บัตร,ใบ,N,,,,,
A.T.M. card,บัตร A.T.M.,ใบ,N,,,,,
credit card,บัตรเครดิต,ใบ,N,,,,,
invitation card,บัตรเชิญ,ใบ,N,,,,,
I.D. card (general),บัตรประจำตัว,ใบ,N,,,,,
national I.D. card,บัตรประชาชน,ใบ,N,,,,,
pass,บัตรผ่าน,ใบ,N,,,,,
stairway,บันได,ขั้น,N,,,,,
" to record (sound), to note",บันทึก,บันทึก,N,,,,,
lotus,"บัว, ดอกบัว",ดอก,V,,,,,
crazy,บ้า,,N,,,,,
"some, to be thin",บาง,,Adj,,,,,
"some, somehow",บ้าง,,Adv,,,,,
sometimes,บางครั้ง,,Adv,,,,,
"perhaps, sometimes, maybe",บางที,,Adv,,,,,
something,บางอย่าง,,N,,,,,
to cut or wound,บาด,,V,,,,,
injured,บาดเจ็บ,,Adj,,,,,
"baht, ticals (the monetary unit of Thailand)",บาท,"ใบ, เหรียญ",N,,,,,
to bloom; classifier for doors,บาน,,"V, Pronoun, Class",,,,,
"house, home",บ้าน,หลัง,N,,,,,
house to rent,บ้านเช่า,หลัง,N,,,,,
"rural, countryside (sometimes not polite)",บ้านนอก,,N,,,,,
house number,บ้านเลขที่,เลขที่,N,,,,,
afternoon (1 pm - 4 pm),"บ่าย, บ่ายๆ",,N,,,,,
this afternoon (early),บ่ายนี้,,N,,,,,
father,บิดา,คน,N,,,,,
parents (formal),บิดามารดา,คน,N,,,,,
to fly ,บิน,,V,,,,,
skytrain,บีทีเอส,สาย,N,,,,,
to squeeze,บีบ,,V,,,,,
"person, individual, people",บุคคล,คน,N,,,,,
"virtue, merit, good deeds",บุญ,,N,,,,,
"man, gentleman, male, person",บุรุษ,คน,N,,,,,
postman,บุรุษไปรษณีย์,คน,N,,,,,
cigarette,บุหรี่,มวน,N,,,,,
"spoiled (for rice, curry, or soup)",บูด,,Adj,,,,,
bacon,เบคอน,ชิ้น,N,,,,,
Belgium,เบลเยี่ยม,,N,,,,,
"number (for room, telephone, cloth size, etc)",เบอร์,เบอร์,N,,,,,
telephone number,เบอร์โทรศัพท์,เบอร์,N,,,,,
to be light in weight,เบา,,Adj,,,,,
relieved,เบาใจ,,Adj,,,,,
seat,เบาะ,ที่,N,,,,,
backseat,เบาะหลัง,ที่,N,,,,,
"to withdraw (money), to requisition (as from a storeroom)",เบิก,,V,,,,,
to get money (from the bank),เบิกเงิน,,V,,,,,
beer,เบียร์,"แก้ว, ขวด, กระป๋อง",N,,,,,
to be bored,เบื่อ,,Adj,,,,,
to carry (on the shoulder or back),แบก,,V,,,,,
"to divide up, allot, share",แบ่ง,ใบ,V,,,,,
"banknote, bank (loanword)",แบงค์,ใบ,N,,,,,
small bills,แบ๊งค์ย่อย,ใบ,N,,,,,
battery (rechargeable) (loanword),แบตเตอรี่,ตัว,N,,,,,
small bottle whisky (flat) (slang),แบน,,N,,,,,
"kind, type, style",แบบ,,N,,,,,
"this kind, like this",แบบนี้,,N,,,,,
form (document),แบบฟอร์ม,ใบ,N,,,,,
what type? (phrase),แบบไหน,,N,,,,,
"old-fashioned, outdated, ancient, artifact ",โบราณ,,N,,,,,
bowling,โบว์ลิ่ง,,N,,,,,
church,โบสถ์,แห่ง,N,,,,,
"classifier for picture, etc.",ใบ,,N,,,,,
holy basil,ใบกระเพรา,,N,,,,,
driver's license,ใบขับขี่,ใบ,N,,,,,
banana leaf,ใบตอง,ใบ,N,,,,,
kaffir lime leaf,ใบมะกรูด,ใม,N,,,,,
leaf,ใบไม้,ก้อน,N,,,,,
one hundred bill,ใบร้อย,ใบ,N,,,,,
one hundred bill,ใบละร้อย,ใบ,N,,,,,
5 baht bank note,ใบละห้า,ใบ,N,,,,,
prescription,ใบสั่งยา,ใบ,N,,,,,
receipt,ใบเสร็จ,ใบ,N,,,,,
basil leaf,ใบโหระพา,ใบ,N,,,,,
driver's license (formal),ใบอนุญาตขับขี่,ใบ,N,,,,,
cover (e.g. of a book),ปก,แผ่น,N,,,,,
"to govern, rule, administer",ปกครอง,,V,,,,,
"normally, ordinarily (more formal)",ปกติ,,Adv,,,,,
"to perform, carry out, apply",ปฏิบัติ,,V,,,,,
"decline, (turn down), deny, reject",ปฏิเสธ,,V,,,,,
mix,ปน (กัน),,V,,,,,
composed of,ประกอบ,,V,,,,,
comprised of,ประกอบด้วย,,V,,,,,
"to guarantee, insure, assure",ประกัน,,V,,,,,
to announce,ประกาศ,,V,,,,,
"always, regularly",ประจำ,,Adv,,,,,
monthly,ประจำเดือน,,Adv,,,,,
daily,ประจำวัน,,Adv,,,,,
population,ประชากร,คน,N,,,,,
"citizens, the public, people",ประชาชน,คน,N,,,,,
"freedom, a monument in Bangkok",ประชาธิปไตย,,N,,,,,
"to meet (in a group), to hold a meeting, meeting, assemble",ประชุม,,V,,,,,
"door, gate",ประตู,บาน,N,,,,,
front door,ประตูหน้า,บาน,N,,,,,
elementary (level),ประถม,,Adj,,,,,
"country, nation",ประเทศ,ประเทศ,N,,,,,
Thailand,ประเทศไทย,ประเทศ,N,,,,,
America,ประเทศอเมริกา,,N,,,,,
England,ประเทศอังกฤษ,,N,,,,,
"president, chairman",ประธาน,คน,N,,,,,
"behave, act",ประพฤติ,,V,,,,,
custom,ประเพณี,"ประเพณี, แบบ",N,,,,,
"type, sort, category",ประเภท,"ประเภท, แบบ",N,,,,,
"about, to approximate, to estimate",ประมาณ,,"V, Prep",,,,,
to bid (at auction),ประมูล,,V,,,,,
"to estimate, assess, evaluate",ประเมิน,,V,,,,,
"to evaluate, assess, estimate",ประเมินผล,,V,,,,,
sentence,ประโยค,ประโยค,N,,,,,
"use, usefulness",ประโยชน์,อย่าง,N,,,,,
history,ประวัติศาสตร์,,N,,,,,
"to wish, desire, want, intend, mean, purpose, aim ",ประสงค์,อย่าง,V,,,,,
"to face, encounter, meet",ประสบ,,V,,,,,
experience,ประสบการณ์,อย่าง,N,,,,,
"to coordinate, integrate, bring together",ประสานงาน,,V,,,,,
"to economize, save, be thrifty",ประหยัด,,V,,,,,
"to fine, impose a fine",ปรับ,,V,,,,,
"to adjust, improve, make an adjustment",ปรับปรุง,,V,,,,,
"to be apparent, evident",ปรากฏ,,V,,,,,
academic degree,ปริญญา,ใบ,N,,,,,
"quantity, amount, number",ปริมาณ,,N,,,,,
"talk it over, consult",ปรึกษา,,V,,,,,
pillow case,ปลอกหมอน,ใบ,N,,,,,
"safe, out of danger",ปลอดภัย,,Adj,,,,,
to forge,ปลอม,,V,,,,,
"to release, let go, set free",ปล่อย,,V,,,,,
fish,ปลา,ตัว,N,,,,,
fish (resembling a herring or mackerel),ปลาทู,ตัว,N,,,,,
the end of,ปลาย,,N,,,,,
end of the month,ปลายเดือน,,N,,,,,
end of the year,ปลายปี,,N,,,,,
squid,ปลาหมึก,ตัว,N,,,,,
to wake someone up,ปลุก,,V,,,,,
to plant crops,ปลูก,,V,,,,,
"to ache, have a pain",ปวด,,Adj,,,,,
stomachache,ปวดท้อง,,Adj,,,,,
toothache,ปวดฟัน,,Adj,,,,,
backache,ปวดหลัง,,Adj,,,,,
headache,ปวดหัว,,Adj,,,,,
"to be sick, ill, get ill",ป่วย,,V,,,,,
"protect, defend, prevent",ป้องกัน,,V,,,,,
to feed someone,ป้อน,,V,,,,,
pound (weight),ปอนด์,,N,,,,,
factor (n),ปัจจัย,,N,,,,,
"now, at present, at this time, currently",ปัจจุบัน,,N,,,,,
"problem, question, trouble",ปัญหา,ข้อ,N,,,,,
"to spin (transitive), to blend",ปั่น,,V,,,,,
"to mold, sculpt, form",ปั้น,,V,,,,,
to spin,ปั่น ,,V,,,,,
pump,ปั๊ม,,V,,,,,
"gas pump, a gas station",ปั๊มน้ำมัน,แห่ง,N,,,,,
"forest, jungle",ป่า,"แห่ง, ที่",N,,,,,
aunt (parent’s older sisters and women of that age),ป้า,คน,N,,,,,
mouth,ปาก,ปาก,N,,,,,
pen,ปากกา,ด้าม,N,,,,,
entrance into a lane (top of soi),ปากซอย,ที่่ี่,N,,,,,
Pakistan,ปากีสถาน,,N,,,,,
Panama,ปานามา,,N,,,,,
forest,ป่าไม้,แห่ง,N,,,,,
"stop sign (traffic), tag, sign, poster, ",ป้าย,ป้าย,N,,,,,
"bus stop, bus sign",ป้ายรถเมล์ ,ป้าย,N,,,,,
"to toast, bake",ปิ้ง,,V,,,,,
"close, turn off (lights)",ปิด,,V,,,,,
year,ปี,,N,,,,,
wind instrument,ปี่,"ตัว, เลา",N,,,,,
wing,ปีก,,N,,,,,
last year,ปีที่แล้ว,,N,,,,,
this year,ปีนี้,,N,,,,,
next year,ปีหน้า,,N,,,,,
gun,ปืน,กระบอก,N,,,,,
pistol,ปืนพก,ด้าม,N,,,,,
"grandfather (father's father), father-in-law (husband's father), crab",ปู่,"คน, ตัว",N,,,,,
grandparents,ปู่ย่าตายาย,คน,N,,,,,
duck,เป็ด,ตัว,N,,,,,
"to be able to, be capable of, know how to ",เป็น,,V,,,,,
fever (to have),เป็นไข้,,Adj,,,,,
"etc., and so on, for example",เป็นต้น,,Adv,,,,,
at times,เป็นบางคราว,,Adv,,,,,
"to be possible, be feasible",เป็นไปได้,,Adj,,,,,
to be impossible,เป็นไปไม่ได้,,Adj,,,,,
poisonous,เป็นพิษ,,Adj,,,,,
friendly,เป็นมิตร,,Adj,,,,,
to faint,เป็นลม,,Adj,,,,,
single,เป็นโสด,,Adj,,,,,
owe,เป็นหนี้,,V,,,,,
"worried, anxious about",เป็นห่วง,,V,,,,,
cold (to have),เป็นหวัด,,Adj,,,,,
to compare,เปรียบเทียบ,,V,,,,,
sour,เปรี้ยว,,Adj,,,,,
sweet and sour,เปรี้ยวหวาน,,Adj,,,,,
"no, not",เปล่า,,Adj,,,,,
"vary, alter, vary, transform, change ",เปลี่ยน,,V,,,,,
"to change to, become, transform, alter, turn into",เปลี่ยนแปลง,,V,,,,,
"shell, case, husk",เปลือก,,N,,,,,
"aim, purpose, goal",เป้าหมาย,เป้าหมาย,N,,,,,
"to open, turn on (lights)",เปิด,,V,,,,,
to open an account,เปิดบัญชี,,V,,,,,
reveal,เปิดเผย,,V,,,,,
wet,เปียก,,Adj,,,,,
"powder, flour, starch",แป้ง,,N,,,,,
eight (8),แปด ๘,,N,,,,,
eighty (80),แปดสิบ,,N,,,,,
brush,แปรง,"ด้าม, อัน",N,,,,,
to brush teeth,แปรงฟัน,,V,,,,,
toothbrush,แปรงสีฟัน,ด้าม,N,,,,,
to translate,แปล,,V,,,,,
surprised,แปลกใจ,,Adj,,,,,
plot (of land),แปลง,แปลง,N,,,,,
to be translated ...,แปลว่า,,V,,,,,
program (loan word),โปรแกรม,โปรแกรม,N,,,,,
please (request form),โปรด,,Adv,,,,,
Portugal,โปรตุเกส,,N,,,,,
"to go, too (implied)",ไป,,V,,,,,
round trip,ไปกลับ,,V,,,,,
"to go first, to go ahead",ไปก่อน,,V,,,,,
to go shopping,ไปช้อปปิ้ง,,V,,,,,
to go shopping,ไปซื้อของ,,V,,,,,
to go together,ไปด้วย,,V,,,,,
to go together,ไปด้วยกัน,,V,,,,,
arrive (away from the speaker),ไปถึง,,V,,,,,
"to go out for pleasure, to travel, tour, go out",ไปเที่ยว,,V,,,,,
to go out on business,ไปธุระ,,V,,,,,
go to bed (phrase),ไปนอน,,V,,,,,
to go visit a person,ไปเยี่ยม,,V,,,,,
post office,ไปรษณีย์,"แห่ง, ที่",N,,,,,
to go pick up someone ,ไปรับ,,V,,,,,
"to see someone off, to take or send a person (general use)",ไปส่ง,,V,,,,,
"go to see (go to look for), visit a person",ไปหา,,V,,,,,
curry powder,ผงกะหรี่,ช้อน,N,,,,,
MSG,ผงชูรส,ช้อน,N,,,,,
detergent,ผงซักฟอก,"ถุง, ช้อน ",N,,,,,
"I (male speaker), hair (on head)",ผม,"คน, เส้น",N,,,,,
myself (m),ผมเอง,,N,,,,,
classifier for fruit,ผล,,N,,,,,
"effect, affectation, influence",ผลกระทบ,,N,,,,,
fruit,ผลไม้,"อย่าง, ชนิด",N,,,,,
to push (away),ผลัก,,V,,,,,
"to manufacture, to produce",ผลิต,,V,,,,,
"product, merchandise, goods",ผลิตภัณฑ์,ชิ้น,N,,,,,
"to mix, blend, mingle",ผสม,,V,,,,,
to be thin,ผอม,,Adj,,,,,
leaf vegetables,ผัก,ชนิด,N,,,,,
lettuce,ผักกาด,หัว,N,,,,,
lettuce,ผักกาดหอม,ใบ,N,,,,,
spinach,ผักขม,"ใบ, ต้น",N,,,,,
parsley,ผักชี,ต้น,N,,,,,
parsley,ผักชีฝรั่ง,,N,,,,,
"to stir fry, a fried mixture",ผัด,,V,,,,,
pad thai,ผัดไทย,จาน,N,,,,,
pub (loanword),ผับ,"แห่ง, ที่",N,,,,,
husband (informal),ผัว,คน,N,,,,,
to slice open,ผ่า,,V,,,,,
cloth,ผ้า,ผืน,N,,,,,
apron,ผ้ากันเปื้อน,ผืน,N,,,,,
towel,ผ้าเช็ดตัว,ชิ้น,N,,,,,
"handtowel, napkin",ผ้าเช็ดมือ,ผืน,N,,,,,
"to pass, to go past, pass through",ผ่าน,,V,,,,,
to pass by,ผ่าน (ไป),,V,,,,,
canvas,ผ้าใบ,ผืน,N,,,,,
tablecloth,ผ้าปูโต๊ะ,ผืน,N,,,,,
bed sheets,ผ้าปูที่นอน,ผืน,N,,,,,
cotton,ผ้าฝ้าย,ผืน,N,,,,,
bandage,ผ้าพันแผล,ผืน,N,,,,,
curtains,ผ้าม่าน,ผืน,N,,,,,
blanket,ผ้าห่ม,ผืน,N,,,,,
silk,ผ้าไหม,ผืน,N,,,,,
"incorrect, a mistake",ผิด,,Adj,,,,,
illegal,ผิดกฎหมาย,,Adj,,,,,
disappointed,ผิดหวัง,,V,,,,,
skin,ผิว,,N,,,,,
sunburn,ผิวไหม้,,Adj,,,,,
ghost,ผี,ตัว,N,,,,,
butterfly,ผีเสื้อ,ตัว,N,,,,,
bee,ผึ้ง,ตัว,N,,,,,
person (rarely used alone),ผู้,,Prefix,,,,,
to tie,ผูก,,V,,,,,
director,ผู้กำกับ,คน,N,,,,,
manager,ผู้จัดการ,คน,N,,,,,
"boy, man, assistant",ผู้ชาย,คน,N,,,,,
